title,remix,genre,artist,link,release,price
WET,Original Mix,Bass House,Wax Motif,https:/www.beatport.com/artist/wax-motif/90779,2019-06-07,1.99
It'll All Be Over,DJ Koze Remix,Deep House,Gerry Read,https:/www.beatport.com/artist/gerry-read/160097,2019-05-10,1.49
Geometric,Original Mix,Techno,Mark Reeve,https:/www.beatport.com/artist/mark-reeve/58554,2019-05-06,1.49
Don't Laugh,Agent Orange DJ Re-Work,Techno,Josh Wink,https:/www.beatport.com/artist/josh-wink/578,2019-06-14,1.99
Sacred Cycles,Adam Beyer/Bart Skils/Layton Giordani Renaissance Remix,Techno,Pete Lazonby,https:/www.beatport.com/artist/pete-lazonby/21137,2019-05-24,1.99
Widowed,Original Mix,Drum & Bass,Enei,https:/www.beatport.com/artist/enei/53390,2019-07-04,1.99
Losing It,Extended,Tech House,FISHER (OZ),https:/www.beatport.com/artist/fisher-oz/628537,2018-07-13,2.49
Heater,Tube & Berger Remix,Tech House,Samim,https:/www.beatport.com/artist/samim/11294,2019-07-12,1.99
Under My Control,Original Mix,Tech House,Jamie Jones,https:/www.beatport.com/artist/jamie-jones/27044,2019-07-05,2.49
Twilight of the Idols,Original Mix,Techno,Mattia Saviolo,https:/www.beatport.com/artist/mattia-saviolo/676144,2019-07-05,2.49
The Biggest Heart,Original Mix,Deep House,Roy Rosenfeld,https:/www.beatport.com/artist/roy-rosenfeld/99166,2019-06-17,1.99
Fnk Hrd,Extended Mix,Tech House,Sidney Charles,https:/www.beatport.com/artist/sidney-charles/154816,2019-06-28,2.49
East,Original Mix,Techno,Teenage Mutants,https:/www.beatport.com/artist/teenage-mutants/149975,2019-06-14,1.99
Pussyn,Original Mix,House,Ruben Mandolini,https:/www.beatport.com/artist/ruben-mandolini/43908,2019-05-24,1.99
Beneath The Stars,Extended Mix,Trance,Audrey Gallagher,https:/www.beatport.com/artist/audrey-gallagher/104446,2019-07-08,1.99
Afro Horn,Original Mix,Afro House,Harry Romero,https:/www.beatport.com/artist/harry-romero/88809,2019-06-21,1.99
Izinque,Alessio Cala' Remix,Deep House,Angelo Ferreri,https:/www.beatport.com/artist/angelo-ferreri/130415,2019-06-06,1.99
Take Me Away,Original Mix,House,Jansons,https:/www.beatport.com/artist/jansons/530307,2019-06-28,1.99
Ubuntu,Tribal Mix,Future House,EDX,https:/www.beatport.com/artist/edx/42359,2019-06-21,1.99
Feeling Good,Original Mix,House,Brokenears,https:/www.beatport.com/artist/brokenears/727011,2019-03-01,1.49
Searching For Someone,Original Mix,Tech House,Eli Brown,https:/www.beatport.com/artist/eli-brown/503102,2019-07-12,2.49
The Approach,Original Mix,Techno,Alan Fitzpatrick,https:/www.beatport.com/artist/alan-fitzpatrick/57541,2019-07-08,2.49
How I Feel feat. Hayley May,Extended Mix,House,Martin Ikin,https:/www.beatport.com/artist/martin-ikin/153990,2019-07-12,2.49
Let The Music,Extended Mix,Tech House,Secondcity,https:/www.beatport.com/artist/secondcity/337030,2019-07-05,2.49
Paradise (feat. Insight),Extended,Minimal / Deep Tech,Insight,https:/www.beatport.com/artist/insight/4896,2019-06-07,1.99
Funky People,Superlover Vocal Mix,Funky / Groove / Jackin' House,Superlover,https:/www.beatport.com/artist/superlover/201570,2019-05-17,1.49
It's Like That,Sebastien Leger Remix,Melodic House & Techno,Serge Devant,https:/www.beatport.com/artist/serge-devant/3777,2019-06-14,1.99
No Diggity,Original Mix,Funky / Groove / Jackin' House,Richard Grey,https:/www.beatport.com/artist/richard-grey/1612,2019-04-26,1.49
Piece Of Your Heart,Alok Extended Remix,Tech House,Alok,https:/www.beatport.com/artist/alok/227568,2019-06-07,1.99
Miracle (Body Rock),Original Mix,Melodic House & Techno,Nic Fanciulli,https:/www.beatport.com/artist/nic-fanciulli/9120,2019-07-12,2.49
Feelin' Good,Radio Slave Revenge Remix,Leftfield House & Techno,Laurent Garnier,https:/www.beatport.com/artist/laurent-garnier/8501,2019-07-12,2.49
Bittersweet Symphony (feat. Emily Roberts),Extended Version,Dance,Gamper & Dadoni,https:/www.beatport.com/artist/gamper-and-dadoni/416115,2019-04-12,1.49
Maia,Original Mix,Deep House,Oliver Schories,https:/www.beatport.com/artist/oliver-schories/100671,2019-05-13,1.49
Spaced Invader,Low Steppa & Hatiras Remix,House,Hatiras,https:/www.beatport.com/artist/hatiras/17,2019-07-12,1.99
Trippin' feat. Dames Brown,Extended Mix,House,Alaia & Gallo,https:/www.beatport.com/artist/alaia-and-gallo/388234,2019-06-21,1.99
Herbsmoke,Benny Page Remix,Drum & Bass,Aries,https:/www.beatport.com/artist/aries/25633,2019-07-05,1.99
S.Y.L.,Extended Mix,Melodic House & Techno,Edu Imbernon,https:/www.beatport.com/artist/edu-imbernon/81857,2019-07-05,1.99
Dance Alone,Original Mix,Melodic House & Techno,Tone Of Arc,https:/www.beatport.com/artist/tone-of-arc/265752,2019-07-12,2.49
Gotta Keep Pushin',Grant Nelson Remix,House,Joey Negro,https:/www.beatport.com/artist/joey-negro/1113,2019-07-05,1.99
The Bird Sasha Remix,Original Mix,Progressive House,Syml,https:/www.beatport.com/artist/syml/584441,2019-06-28,1.99
Craft,Original Mix,Melodic House & Techno,Adriatique,https:/www.beatport.com/artist/adriatique/121765,2019-06-28,1.99
Rave feat. Kris Kiss,Extended Mix,Big Room,Showtek,https:/www.beatport.com/artist/showtek/19680,2019-06-28,1.99
Drop Two,Extended Mix,Trance,Sean Tyas,https:/www.beatport.com/artist/sean-tyas/11218,2019-07-08,2.49
Cubafro feat. Dele Sosimi,Armonica Remix,Afro House,Dele Sosimi,https:/www.beatport.com/artist/dele-sosimi/86821,2019-07-05,1.99
Yeke,Enzo Siffredi's Remix,Afro House,Sparrow & Barbossa,https:/www.beatport.com/artist/sparrow-and-barbossa/698452,2019-04-19,1.49
Let Me Love You,Extended Mix,House,Weiss (UK),https:/www.beatport.com/artist/weiss-uk/345028,2019-05-31,1.99
I Don't Care (Loud Luxury Remix),Extended,Dance,Ed Sheeran,https:/www.beatport.com/artist/ed-sheeran/86560,2019-06-14,1.99
Cold Rock A Party,Original Mix,Funky / Groove / Jackin' House,Richard Grey,https:/www.beatport.com/artist/richard-grey/1612,2019-06-14,1.99
Brethren,Original Mix,Techno,UMEK,https:/www.beatport.com/artist/umek/4177,2019-03-22,1.49
Symbiosis,Original Mix,Progressive House,Brian Cid,https:/www.beatport.com/artist/brian-cid/247671,2019-07-08,2.49
Linked,Original Mix,Electronica / Downtempo,Bonobo,https:/www.beatport.com/artist/bonobo/9978,2019-07-01,1.99
My Spine Is Tingling,Extended Mix,Big Room,Luciana,https:/www.beatport.com/artist/luciana/44240,2019-07-01,1.99
Noir Infusion,Original Mix,Minimal / Deep Tech,Chris Stussy,https:/www.beatport.com/artist/chris-stussy/374024,2019-07-05,1.99
Trampoline (feat. AMY MIYÚ),Extended Mix,Bass House,Will K,https:/www.beatport.com/artist/will-k/226791,2019-07-05,2.49
Something Real feat. Jordan Shaw,Extended Mix,Trance,Armin van Buuren,https:/www.beatport.com/artist/armin-van-buuren/2228,2019-07-12,1.99
Noise feat. Lelah,Original Mix,Melodic House & Techno,Denis Horvat,https:/www.beatport.com/artist/denis-horvat/87047,2019-03-22,1.49
Promised,Original Mix,Melodic House & Techno,Pig&Dan,https:/www.beatport.com/artist/pig-and-dan/5235,2019-07-08,2.49
Let Live,Original Mix,House,Robosonic,https:/www.beatport.com/artist/robosonic/26797,2019-07-05,2.49
Let It Go,T78 Remix,Techno,Emanuele Millozzi,https:/www.beatport.com/artist/emanuele-millozzi/126590,2019-05-08,1.49
I Heard,Original Mix,Funk / Soul / Disco,Funk The Beat,https:/www.beatport.com/artist/funk-the-beat/368159,2018-12-28,1.49
Thonk!,Whitesquare Remix,Indie Dance / Nu Disco,Dave Seaman,https:/www.beatport.com/artist/dave-seaman/10727,2019-06-21,1.99
title,remix,genre,artist,link,release,price
Big Love,David Penn Extended Remix,House,Pete Heller's Big Love,https://www.beatport.com/artist/pete-hellers-big-love/203551,2019-07-05,1.99
The General,Original Mix,Tech House,Mark Knight,https://www.beatport.com/artist/mark-knight/1938,2019-06-21,2.49
You Little Beauty,Extended,Tech House,FISHER (OZ),https://www.beatport.com/artist/fisher-oz/628537,2019-05-10,2.49
Space Date,Pleasurekraft Remix,Techno,Adam Beyer,https://www.beatport.com/artist/adam-beyer/6824,2019-06-24,1.99
"Lies, Deception, And Fantasy",Original Mix,Tech House,Chris Lake,https://www.beatport.com/artist/chris-lake/7179,2019-06-28,1.99
Vibrancy,Original Mix,Techno,UMEK,https://www.beatport.com/artist/umek/4177,2019-05-31,1.99
Feelin' Good,Original Mix,House,Laurent Garnier,https://www.beatport.com/artist/laurent-garnier/8501,2019-07-12,2.49
Return to Oz,Artbat Remix,Melodic House & Techno,Monolink,https://www.beatport.com/artist/monolink/406814,2019-05-17,1.49
Fury's Laughter,Original Mix,Deep House,S.A.M.,https://www.beatport.com/artist/s-a-m/15554,2019-06-17,1.99
Snake,Original Mix,Tech House,PAX,https://www.beatport.com/artist/pax/10484,2019-06-07,1.99
Ballers,Original Mix,Tech House,DJ S.K.T,https://www.beatport.com/artist/dj-s-k-t/212663,2019-04-26,1.49
Data Point,Original Mix,Techno,Adam Beyer,https://www.beatport.com/artist/adam-beyer/6824,2019-06-24,1.99
More Luv,Original Mix,Minimal / Deep Tech,Rossi.,https://www.beatport.com/artist/rossi/723794,2019-07-05,2.49
Acumulee,Original Mix,Melodic House & Techno,Super Flu,https://www.beatport.com/artist/super-flu/17319,2019-06-21,1.99
The House Of House,Thomas Schumacher Remix,Techno,Cherrymoon Trax,https://www.beatport.com/artist/cherrymoon-trax/11256,2019-06-14,1.99
Promised,Raxon Remix,Melodic House & Techno,Pig&Dan,https://www.beatport.com/artist/pig-and-dan/5235,2019-07-08,2.49
Get A Funk,Extended Mix,Tech House,Mendo,https://www.beatport.com/artist/mendo/4560,2019-07-05,2.49
Comments,Original Mix,Tech House,Claude VonStroke,https://www.beatport.com/artist/claude-vonstroke/5430,2019-06-28,1.99
SOL,Extended Mix,Tech House,KC Lights,https://www.beatport.com/artist/kc-lights/347044,2019-06-07,1.99
Be Someone,Extended Mix,Progressive House,CamelPhat,https://www.beatport.com/artist/camelphat/150756,2019-06-04,1.99
Music Is the Answer,Original Mix,House,Mike Vale,https://www.beatport.com/artist/mike-vale/35397,2019-04-05,1.49
In My Arms,Qubiko Extended Remix,House,Robosonic,https://www.beatport.com/artist/robosonic/26797,2019-06-21,1.99
Enkidu,Adam Port's Tulum by Night Edit,Indie Dance / Nu Disco,Simple Symmetry,https://www.beatport.com/artist/simple-symmetry/159151,2019-07-05,1.99
Whatudo,Original Mix,Deep House,Chris Stussy,https://www.beatport.com/artist/chris-stussy/374024,2019-07-05,1.99
Venere,Fideles Remix,Melodic House & Techno,BOg,https://www.beatport.com/artist/bog/102210,2019-07-08,2.49
You're Not Alone,Club Mix,Tech House,Joshwa (UK),https://www.beatport.com/artist/joshwa-uk/587859,2019-07-05,2.49
Tell Me Are We,Original Mix,Melodic House & Techno,WhoMadeWho,https://www.beatport.com/artist/whomadewho/10688,2019-05-31,1.99
No Dancers,Adam Port Remix,Melodic House & Techno,Cubicolor,https://www.beatport.com/artist/cubicolor/404175,2019-06-18,1.99
Black Day,Adam Beyer Remix,Techno,Monolink,https://www.beatport.com/artist/monolink/406814,2019-07-05,1.99
Guess Who's Jack,Extended Mix,Tech House,Tube & Berger,https://www.beatport.com/artist/tube-and-berger/36641,2019-06-21,2.49
Nata Alma,Club Smash Hit Version,Melodic House & Techno,Robag Wruhme,https://www.beatport.com/artist/robag-wruhme/4097,2019-07-05,1.99
RAW,Original Mix,House,KiNK,https://www.beatport.com/artist/kink/33298,2019-06-07,1.99
Work It,Soulwax Remix,Indie Dance / Nu Disco,Marie Davidson,https://www.beatport.com/artist/marie-davidson/339220,2019-04-04,1.49
Work,Club Mix,Bass House,Denise,https://www.beatport.com/artist/denise/187565,2019-07-12,1.99
Starry Night,Original Mix,Indie Dance / Nu Disco,Peggy Gou,https://www.beatport.com/artist/peggy-gou/528008,2019-04-19,1.49
Anthem,Club Mix,House,Reza,https://www.beatport.com/artist/reza/2124,2019-04-29,1.49
Hypnotized,Joyhauser Remix,Techno,Amelie Lens,https://www.beatport.com/artist/amelie-lens/533826,2019-06-28,1.99
Pride (A Deeper Love),Original Mix,Tech House,Moreno Pezzolato,https://www.beatport.com/artist/moreno-pezzolato/73031,2019-06-08,1.99
Gravity feat. Laura Korinth,Original Mix,Minimal / Deep Tech,Boris Brejcha,https://www.beatport.com/artist/boris-brejcha/28795,2019-07-12,1.99
WET,Original Mix,Bass House,Wax Motif,https://www.beatport.com/artist/wax-motif/90779,2019-06-07,1.99
It'll All Be Over,DJ Koze Remix,Deep House,Gerry Read,https://www.beatport.com/artist/gerry-read/160097,2019-05-10,1.49
Geometric,Original Mix,Techno,Mark Reeve,https://www.beatport.com/artist/mark-reeve/58554,2019-05-06,1.49
Don't Laugh,Agent Orange DJ Re-Work,Techno,Josh Wink,https://www.beatport.com/artist/josh-wink/578,2019-06-14,1.99
Sacred Cycles,Adam Beyer/Bart Skils/Layton Giordani Renaissance Remix,Techno,Pete Lazonby,https://www.beatport.com/artist/pete-lazonby/21137,2019-05-24,1.99
Widowed,Original Mix,Drum & Bass,Enei,https://www.beatport.com/artist/enei/53390,2019-07-04,1.99
Losing It,Extended,Tech House,FISHER (OZ),https://www.beatport.com/artist/fisher-oz/628537,2018-07-13,2.49
Heater,Tube & Berger Remix,Tech House,Samim,https://www.beatport.com/artist/samim/11294,2019-07-12,1.99
Under My Control,Original Mix,Tech House,Jamie Jones,https://www.beatport.com/artist/jamie-jones/27044,2019-07-05,2.49
Twilight of the Idols,Original Mix,Techno,Mattia Saviolo,https://www.beatport.com/artist/mattia-saviolo/676144,2019-07-05,2.49
The Biggest Heart,Original Mix,Deep House,Roy Rosenfeld,https://www.beatport.com/artist/roy-rosenfeld/99166,2019-06-17,1.99
Fnk Hrd,Extended Mix,Tech House,Sidney Charles,https://www.beatport.com/artist/sidney-charles/154816,2019-06-28,2.49
East,Original Mix,Techno,Teenage Mutants,https://www.beatport.com/artist/teenage-mutants/149975,2019-06-14,1.99
Pussyn,Original Mix,House,Ruben Mandolini,https://www.beatport.com/artist/ruben-mandolini/43908,2019-05-24,1.99
Beneath The Stars,Extended Mix,Trance,Audrey Gallagher,https://www.beatport.com/artist/audrey-gallagher/104446,2019-07-08,1.99
Afro Horn,Original Mix,Afro House,Harry Romero,https://www.beatport.com/artist/harry-romero/88809,2019-06-21,1.99
Izinque,Alessio Cala' Remix,Deep House,Angelo Ferreri,https://www.beatport.com/artist/angelo-ferreri/130415,2019-06-06,1.99
Take Me Away,Original Mix,House,Jansons,https://www.beatport.com/artist/jansons/530307,2019-06-28,1.99
Ubuntu,Tribal Mix,Future House,EDX,https://www.beatport.com/artist/edx/42359,2019-06-21,1.99
Feeling Good,Original Mix,House,Brokenears,https://www.beatport.com/artist/brokenears/727011,2019-03-01,1.49
Searching For Someone,Original Mix,Tech House,Eli Brown,https://www.beatport.com/artist/eli-brown/503102,2019-07-12,2.49
The Approach,Original Mix,Techno,Alan Fitzpatrick,https://www.beatport.com/artist/alan-fitzpatrick/57541,2019-07-08,2.49
How I Feel feat. Hayley May,Extended Mix,House,Martin Ikin,https://www.beatport.com/artist/martin-ikin/153990,2019-07-12,2.49
Let The Music,Extended Mix,Tech House,Secondcity,https://www.beatport.com/artist/secondcity/337030,2019-07-05,2.49
Paradise (feat. Insight),Extended,Minimal / Deep Tech,Insight,https://www.beatport.com/artist/insight/4896,2019-06-07,1.99
Funky People,Superlover Vocal Mix,Funky / Groove / Jackin' House,Superlover,https://www.beatport.com/artist/superlover/201570,2019-05-17,1.49
It's Like That,Sebastien Leger Remix,Melodic House & Techno,Serge Devant,https://www.beatport.com/artist/serge-devant/3777,2019-06-14,1.99
No Diggity,Original Mix,Funky / Groove / Jackin' House,Richard Grey,https://www.beatport.com/artist/richard-grey/1612,2019-04-26,1.49
Piece Of Your Heart,Alok Extended Remix,Tech House,Alok,https://www.beatport.com/artist/alok/227568,2019-06-07,1.99
Miracle (Body Rock),Original Mix,Melodic House & Techno,Nic Fanciulli,https://www.beatport.com/artist/nic-fanciulli/9120,2019-07-12,2.49
Feelin' Good,Radio Slave Revenge Remix,Leftfield House & Techno,Laurent Garnier,https://www.beatport.com/artist/laurent-garnier/8501,2019-07-12,2.49
Bittersweet Symphony (feat. Emily Roberts),Extended Version,Dance,Gamper & Dadoni,https://www.beatport.com/artist/gamper-and-dadoni/416115,2019-04-12,1.49
Maia,Original Mix,Deep House,Oliver Schories,https://www.beatport.com/artist/oliver-schories/100671,2019-05-13,1.49
Spaced Invader,Low Steppa & Hatiras Remix,House,Hatiras,https://www.beatport.com/artist/hatiras/17,2019-07-12,1.99
Trippin' feat. Dames Brown,Extended Mix,House,Alaia & Gallo,https://www.beatport.com/artist/alaia-and-gallo/388234,2019-06-21,1.99
Herbsmoke,Benny Page Remix,Drum & Bass,Aries,https://www.beatport.com/artist/aries/25633,2019-07-05,1.99
S.Y.L.,Extended Mix,Melodic House & Techno,Edu Imbernon,https://www.beatport.com/artist/edu-imbernon/81857,2019-07-05,1.99
Dance Alone,Original Mix,Melodic House & Techno,Tone Of Arc,https://www.beatport.com/artist/tone-of-arc/265752,2019-07-12,2.49
Gotta Keep Pushin',Grant Nelson Remix,House,Joey Negro,https://www.beatport.com/artist/joey-negro/1113,2019-07-05,1.99
The Bird Sasha Remix,Original Mix,Progressive House,Syml,https://www.beatport.com/artist/syml/584441,2019-06-28,1.99
Craft,Original Mix,Melodic House & Techno,Adriatique,https://www.beatport.com/artist/adriatique/121765,2019-06-28,1.99
Rave feat. Kris Kiss,Extended Mix,Big Room,Showtek,https://www.beatport.com/artist/showtek/19680,2019-06-28,1.99
Drop Two,Extended Mix,Trance,Sean Tyas,https://www.beatport.com/artist/sean-tyas/11218,2019-07-08,2.49
Cubafro feat. Dele Sosimi,Armonica Remix,Afro House,Dele Sosimi,https://www.beatport.com/artist/dele-sosimi/86821,2019-07-05,1.99
Yeke,Enzo Siffredi's Remix,Afro House,Sparrow & Barbossa,https://www.beatport.com/artist/sparrow-and-barbossa/698452,2019-04-19,1.49
Let Me Love You,Extended Mix,House,Weiss (UK),https://www.beatport.com/artist/weiss-uk/345028,2019-05-31,1.99
I Don't Care (Loud Luxury Remix),Extended,Dance,Ed Sheeran,https://www.beatport.com/artist/ed-sheeran/86560,2019-06-14,1.99
Cold Rock A Party,Original Mix,Funky / Groove / Jackin' House,Richard Grey,https://www.beatport.com/artist/richard-grey/1612,2019-06-14,1.99
Brethren,Original Mix,Techno,UMEK,https://www.beatport.com/artist/umek/4177,2019-03-22,1.49
Symbiosis,Original Mix,Progressive House,Brian Cid,https://www.beatport.com/artist/brian-cid/247671,2019-07-08,2.49
Linked,Original Mix,Electronica / Downtempo,Bonobo,https://www.beatport.com/artist/bonobo/9978,2019-07-01,1.99
My Spine Is Tingling,Extended Mix,Big Room,Luciana,https://www.beatport.com/artist/luciana/44240,2019-07-01,1.99
Noir Infusion,Original Mix,Minimal / Deep Tech,Chris Stussy,https://www.beatport.com/artist/chris-stussy/374024,2019-07-05,1.99
Trampoline (feat. AMY MIYÚ),Extended Mix,Bass House,Will K,https://www.beatport.com/artist/will-k/226791,2019-07-05,2.49
Something Real feat. Jordan Shaw,Extended Mix,Trance,Armin van Buuren,https://www.beatport.com/artist/armin-van-buuren/2228,2019-07-12,1.99
Noise feat. Lelah,Original Mix,Melodic House & Techno,Denis Horvat,https://www.beatport.com/artist/denis-horvat/87047,2019-03-22,1.49
Promised,Original Mix,Melodic House & Techno,Pig&Dan,https://www.beatport.com/artist/pig-and-dan/5235,2019-07-08,2.49
Let Live,Original Mix,House,Robosonic,https://www.beatport.com/artist/robosonic/26797,2019-07-05,2.49
Let It Go,T78 Remix,Techno,Emanuele Millozzi,https://www.beatport.com/artist/emanuele-millozzi/126590,2019-05-08,1.49
I Heard,Original Mix,Funk / Soul / Disco,Funk The Beat,https://www.beatport.com/artist/funk-the-beat/368159,2018-12-28,1.49
Thonk!,Whitesquare Remix,Indie Dance / Nu Disco,Dave Seaman,https://www.beatport.com/artist/dave-seaman/10727,2019-06-21,1.99
